Form#,Date_month,Date_day,Date_year,Name,DOB_month,DOB_date,DOB_year,Unique_ID,Race_latino,Race_native,Race_white,Race_biracial,Race_black,Race_asian,Race_other,Race_other_text,Gender_male,Gender_female,Gender_mtf,Gender_ftm,Gender_queer,Trainer,Address,Agency,Occupation,Zipcode,Category_parent,Category_partner,Category_friend,Category_provider,Category_other,Category_other_text,Who_self,Who_friend,Who_family,Who_client,Who_just,Carrying_yes,Carrying_no,Refill_yes,Refill_no,Received_pharmacy,Received_doctor,Received_work,Received_ppp,Witness_yes,Witness_no,Witness_times,Witness_911,Witness_hospital,Witness_fatal,Witness_recent,Reversed_yes,Reversed_no,Reversed_suvived,Reversed_passed,Reversed_hospital
0,1,30,20,Jimmy Carter,12,27,85,DM6913,0,0,1,0,0,0,0,,1,0,0,0,0,Walter Mondale,1600 Pennsylvania Avenue,United States Government,Graphic Designer/President,19107,0,0,1,0,0,,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,,,,,n/a,0,0,0,0,0
1,2,21,17,Walter White,12,14,76,MR2134,1,0,0,0,0,0,0,,1,0,0,0,0,Jimmy Carter,234 Melendez Dr,Margaret Thatcher,Dog Walker,19107,0,0,1,0,0,,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,3,1,0,2,Jan-16,1,0,1,0,0
2,1,28,2016,Zoey Deschanel,7,22,1965,ZL1865,0,0,0,1,0,0,0,,0,0,0,0,1,Walter White,"1600 Pennsylvania Ave NW, Washington DC 20500",The White House,Ambassador,20500,0,1,0,0,0,,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,19,19,5,3,39109,1,0,0,0,1
3,2,19,20,Seth McFarlane,9,26,51,MR2120,0,1,0,0,0,0,0,,1,0,0,0,0,Walter White,2376 Independence Street,Meds R Us,Voice Actor,19120,0,1,0,0,0,,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,7,6,4,1,yesterday,0,1,0,0,0
4,5,6,7,Cheech Marin,5,6,92,TT242,1,0,0,0,0,0,0,,1,0,0,0,0,Tommy Chong,123 Street Rd.,Up In Smoke,Tester,90210,0,0,1,0,0,,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,420,5,3,1,20-Apr-18,0,1,0,0,0
5,3,14,2019,Seth McFarlane,6,6,86,2111,0,0,1,0,0,0,0,,1,0,0,0,0,Bob McGee,W27 Lane Street Poad,Roberts & Roberts,Seal Tamer,24680,0,1,0,0,0,,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,,,,,,1,0,1,0,0
6,,,,Isabella Rosselini,5,7,91,MA5481,1,0,1,0,0,0,0,,0,0,0,0,1,Jenifer Egan,127 Fun Street,Important Place,Manager of Development,19107,1,0,0,0,0,,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,3,2,1,1,1/17/08,0,1,0,0,0
7,06,30,63,Xochitl Torres,09,26,13,DF6954,1,0,0,0,0,0,0,,0,0,0,0,1,Walter White,97 Old Barn Door,Red Hen Brewing Co. ,Production Manager,56988,0,0,1,0,0,,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,3,1,1,0,5 months,1,0,1,0,0
8,01,26,2020,Zoey Deschanel,07,20,42,De7824,0,0,1,0,0,0,0,,0,1,0,0,0,Jimmy Carter,420 Cat Scratch Way,Banjo Daves,Ukelele player (professional),19144,0,0,1,0,0,,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,~ 3 months ago,1,0,1,0,0
9,07,01,2015,Isabella Rosselini,08,12,1965,ML2191,0,0,0,0,0,1,0,,0,0,0,0,1,Jennifer Egan,321 Front St Phila PA 19101,Surprise Ventures,Cat Lawyer,19101,0,0,0,1,0,,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,3,3,0,1,3/1/13,1,0,0,1,0
10,01,27,20,Alexander Guzman,05,20,54,JG1234,0,0,1,0,0,0,0,,0,1,0,0,0,Ben Franklin,123 Philadelphia Street,don't know, Inventor/ Statesman/ Author,19107,0,0,1,0,0,,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,,,,,,0,1,0,0,0
11,5,15,20,Isabella Rosselini,11,15,88,FR2971,0,0,1,0,0,0,0,,0,1,0,0,0,Steve Rogers,"2472 Spring Garden Avenue, #8",playhouse west,actress/ singer,19107,0,1,1,0,0,,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,3,3,3,0,8/17/19,1,0,1,0,0
12,1,24,2020,Walter White,7,18,34,LL2588,0,0,0,0,1,0,0,,0,0,0,1,0,Jimmy Carter,2329 Eagle Road,Disney,janitorial,85302,0,0,1,0,0,,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,18,15,12,1,12/12/12,1,0,1,0,0
13,,,,Zoey Deschanel,,,,ABcd1234,0,0,0,0,0,1,0,,0,1,0,0,0,Zoey Deschanel,3675 Market St,Penn, Analyst,19104,0,0,0,0,1,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,,,,,,0,1,0,0,0
14,2,8,2020,Isabella Rosselini,02,01,1994,JA1234,0,0,0,0,0,1,0,,0,1,0,0,0,,1234 Market Street,Jefferson,Data Analyst,19104,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15,11,2,2018,Alexander Guzman,04,05,82,SM 5423,1,1,0,1,0,0,0,,0,1,0,0,0,,"1234 B Street Philadelphia, PA","Workplace, Inc",Worker Bee,19134,0,0,0,1,0,,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,2,1,10/1/17,0,1,0,0,0
16,02,07,20,Jerome Barnes,06,25,75,,0,0,0,0,1,0,0,,1,0,0,0,0,,,,,,0,0,0,0,1,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,0,0,1,0,0,0
17,7,8,19,Jimmy Carter,12,24,85,,0,0,1,0,0,0,0,,0,1,0,0,0,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0
18,10,09,2017,Walter White,7,7,77,AB1234,0,0,0,0,0,0,1,Viking,1,0,0,0,0,Quentin Tarantino,"321 Somewhere Rd Philly, PA 19191",Wild One,Investment banker,19191,0,1,0,0,0,,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,123,110,3,100,Today,0,1,0,0,0
19,2,7,20,Jimmy Carter,9,23,80,WW1666,0,0,1,0,0,0,0,,1,0,0,0,0,Zoey Deschanel,3675 Market Street,The White House,President,19146,0,0,0,1,0,,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1/27/00,19,10,3,12/25/19,1,0,0,0,1
20,2,7,20,Jennifer Egan,9,5,1969,OQ1343,0,0,0,0,0,0,0,,0,0,0,0,0,Jimmy Carter,8 Fairfied St,PopTart inc,Analyst,19355,0,0,1,0,0,,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,,,,,May-19,0,1,0,0,0
21,10,10,2017,Jennifer Egan,4,14,73,EG3317,0,0,0,0,1,0,0,,0,0,1,0,0,Quentin Tarantino,1312 Market St Phila PA 19111,Spyder's Web ,Tax Collector,19111,0,1,0,0,0,,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,6,3,3,0,Mar-17,1,0,1,0,0
22,2,8,20,Xochitl Torres,2,1,70,T1234,1,0,0,0,0,0,0,,0,0,1,0,0,Quentin Tarantino,1234 Market Street,SEPTA,Bus Driver,19143,0,0,0,0,1,Bus Driver,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,,,,,,0,1,0,0,0
